Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult,2024,1/1/2024,21,289c309922d3a3c74247384daecd3e04e37ae877,f3885ed30a83c4720e52278ae5dee9fb2ca1d182,61,708,7D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,708,7D,399200,128000,38.82,-77.01,708,7D,399200,128000,38.82,-77.01
Adult,2024,1/1/2024,18,db82021dedb0047cfa7a1b95097d1befc4fec1c6,7bb4564d4b8aa4bd2fc2a5f618deca3e5d9d0e87,57,608,6D,BLACK,NOT HISPANIC,MALE,Aggravated Assault,Felony Strangulation,308,3D,399100,137900,38.909,-77.01,308,3D,399100,137900,38.909,-77.01
Adult,2024,1/1/2024,23,cc183c1cd313b8fcd326d481c6fd9f5bcd209bb4,594c84cf04afa026f87b3c2a65ed39929954ea6c,56,704,7D,BLACK,NOT HISPANIC,MALE,Release Violations,Fugitive From Justice,607,6D,402400,133900,38.873,-76.972,607,6D,402400,133900,38.873,-76.972
Adult,2024,1/1/2024,0,c133a1ee987da0c944b9a0ce0d32dac262d48935,36ef4928fe68e21be29852db923828d787112f1b,53,702,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,702,7D,403100,131500,38.851,-76.964,702,7D,403100,131500,38.851,-76.964
Adult,2024,1/1/2024,23,6e21dc2b4d4163f2fa5af98e7098bba7df55b88a,1651f1990e77dbb0e667e5f77a909c81867db7f0,51,,,BLACK,NOT HISPANIC,MALE,Release Violations,Failure To Appear (OAG),105,1D,398800,133800,38.872,-77.014,Unk,Unk,398800,133800,38.872,-77.014
Adult,2024,1/1/2024,15,aeef333f19390d743d38c4672d04b912777888cd,bb5689f93b1957a8ad1651204ed8b90b7843a07b,49,704,7D,BLACK,UNKNOWN,MALE,Theft,Theft Second Degree (all Other Larceny),302,3D,397100,140200,38.929,-77.033,302,3D,397100,140200,38.929,-77.033
Adult,2024,1/1/2024,17,e29e8bb3aae8e9dc45e600d8756025e95becf93f,c786682e350a937653abf562871b367b834446ec,49,,,OTHER,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,403,4D,396700,143400,38.959,-77.038,403,4D,396700,143400,38.959,-77.038
Adult,2024,1/1/2024,0,22c825da2cc200e9adc0c1736d96aa02e6dd3359,f36714135a6930245f85869e61e290221d6fecf0,48,,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,704,7D,401900,131200,38.848,-76.978,704,7D,401900,131200,38.848,-76.978
Adult,2024,1/1/2024,1,7c3d09e5dd05f9a67eaa21f320c622cfedd72e3e,fcdbd209ca2e894b9f03f5d542cf5ca804194565,46,503,5D,BLACK,UNKNOWN,FEMALE,Damage to Property,Destruction Of Property - Misd,503,5D,404000,139600,38.924,-76.954,503,5D,404000,139600,38.924,-76.954
Adult,2024,1/1/2024,10,d207745a2e74dba5eb725ba30641bc802b08026b,ed9d0565a902144cc19fd38352402ef9dcb24532,45,501,5D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Motor Vehicles Or Motor Vehicle Fac,506,5D,401200,137200,38.903,-76.986,506,5D,401200,137200,38.903,-76.986
Adult,2024,1/1/2024,1,2df365b1059f43080d12795141a4bf8b1bbf0c49,79226c00f9137012a75d7d0b595f4da61db8e2d8,44,705,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,702,7D,402600,131700,38.853,-76.97,705,7D,401000,130600,38.843,-76.988
Adult,2024,1/1/2024,14,629e34e83706ef61262161ba1bc6513e486db66d,0c9cb0ecf47891bb0dc10f796df3eda721d5b95d,44,,,BLACK,NOT HISPANIC,FEMALE,Theft,Theft Second Degree (all Other Larceny),301,3D,397200,138800,38.917,-77.032,305,3D,397300,138700,38.916,-77.032
Adult,2024,1/1/2024,4,42f554d9354db6e74ac81f7ad0bb9d7c897c2f37,6f41a91aa5a477c91a0d21615184457e36368b91,41,603,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,506,5D,401200,137900,38.909,-76.986,506,5D,401200,137900,38.909,-76.986
Adult,2024,1/1/2024,18,80f8675d0aa2174cf1f4d88467d7774c737b360b,6e83f7cf178f9e3533672bbdd517242fd0ddd826,41,603,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,106,1D,400000,134300,38.876,-77,106,1D,400000,134300,38.876,-77
Adult,2024,1/1/2024,21,5d246d010464507aad88023991c00d1166f4b9cb,a1f69a05e15f5e66303ff889f68ea751db59a09d,41,503,5D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,503,5D,403800,139600,38.924,-76.956,503,5D,403800,139600,38.924,-76.956
Adult,2024,1/1/2024,8,d60cdbcd2f8617267d2ef0c3067cd901111fc604,489ecaf6bc78d11c084021cfa34201051168364c,40,101,1D,BLACK,UNKNOWN,MALE,Weapon Violations,Possession Of Unregistered Ammunition,502,5D,399700,138400,38.913,-77.003,502,5D,399700,138400,38.913,-77.003
Adult,2024,1/1/2024,10,f4f7b406e4b57c493dc72786b8f02375fead985f,db6cb581db0c1a39ebd8eba05b9793ebf0f684f2,37,404,4D,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),408,4D,397100,140700,38.935,-77.033,404,4D,397000,141100,38.938,-77.034
Adult,2024,1/1/2024,12,957570a578139dcc45e3ada407800a6b519c8207,fb4cde6fe5c60189f41b223c648abd4ee8a9362e,36,703,7D,WHITE,HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,703,7D,400300,132300,38.859,-76.996,703,7D,400300,132300,38.859,-76.996
Adult,2024,1/1/2024,6,5a206c7c0c2c4b2c0d3bed8b5bc9c2591287d685,f6c89a074d0f404005353865e377730a2ba600b6,35,401,4D,OTHER,HISPANIC,MALE,Simple Assault,Simple Assault,401,4D,397700,145900,38.981,-77.027,401,4D,397700,145700,38.98,-77.027
Adult,2024,1/1/2024,1,e910d644766164825b3390418ef820d5b10a8d61,6053cb28b53fb96f659ab1631c6eecc5bfc6d52f,35,603,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,104,1D,400400,136900,38.9,-76.995,104,1D,400400,136900,38.9,-76.995
Adult,2024,1/1/2024,0,0e414c9cf30c20abede04f145e4b5748ba343526,a097ae6e9b0cd87753eaae55b30ec8c984b74437,34,,,WHITE,UNKNOWN,MALE,Aggravated Assault,Felony Strangulation,209,2D,397300,136500,38.896,-77.031,209,2D,397300,136500,38.896,-77.031
Adult,2024,1/1/2024,0,9de34ceb3566d1a9c23c83f5cd2db098805a5c66,55ecbf0384937ba966b494120a71448ca8aeb872,34,501,5D,BLACK,NOT HISPANIC,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,606,6D,402900,132500,38.86,-76.967,606,6D,402900,132500,38.86,-76.967
Adult,2024,1/1/2024,4,6bf5d87ad9033da24dd09abf11b7233c76e4cfee,391e8f87dda7e2aa8b4a7bc98257097175d0d54f,33,702,7D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,506,5D,401100,137700,38.907,-76.987,506,5D,401100,137700,38.907,-76.987
Adult,2024,1/1/2024,2,ddccb79c8eb2d6967e1747662b0d19438f25b890,73ddd86a23d0bcfc0a62c4ad61ddbb6ccd27b4c9,33,706,7D,BLACK,NOT HISPANIC,FEMALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,706,7D,400500,129800,38.836,-76.994,706,7D,400500,129800,38.836,-76.994
Adult,2024,1/1/2024,2,9e6507ab19c91b53db28de0e60ba6693007661f0,8136d47c49079cc26c01e29685173077dc26c178,31,704,7D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,708,7D,399300,129300,38.831,-77.008,708,7D,399300,129300,38.831,-77.008
Adult,2024,1/1/2024,8,d60cdbcd2f8617267d2ef0c3067cd901111fc604,26427ebacee0d9155ac4226efe130df904129509,31,601,6D,BLACK,NOT HISPANIC,FEMALE,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,502,5D,399700,138400,38.913,-77.003,502,5D,399700,138400,38.913,-77.003
Adult,2024,1/1/2024,1,96c541ae0e67601e51e55ba3465e5efd360236f9,b52e3d3bca9a498438e65a6fccecd4c996bdd47e,30,702,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,701,7D,402400,132700,38.862,-76.973,701,7D,402400,132700,38.862,-76.973
Adult,2024,1/1/2024,11,c0683ec8f93e0f600e1169516958db55d5f07fff,de5e0351d6e441c7c5a2f2189b52fff2bb10a9ab,30,608,6D,BLACK,NOT HISPANIC,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,107,1D,402000,135100,38.883,-76.976,107,1D,402000,135100,38.883,-76.976
