ENFORCEMENT_SPACE_CODE,YEAR_MONTH,CAMERA_STATUS,NUM_VIOLATIONS,ENFORCEMENT_TYPE,LAST_RECORD,OBJECTID,GLOBALID
1002817,2024/08/01 04:00:00+00,Live,9,Bus Stop,2025/06/25 04:00:00+00,15556278,{49AED48C-47A4-047B-E063-782F520AA561}
ATE 0155,2025/05/01 04:00:00+00,Live,932,Speed,2026/01/16 05:00:00+00,15556279,{49AED48C-47A5-047B-E063-782F520AA561}
1000036,2023/08/01 04:00:00+00,Warning,1,Bus Stop,2023/11/13 05:00:00+00,15556280,{49AED48C-47A6-047B-E063-782F520AA561}
1001121,2024/06/01 04:00:00+00,Live,115,Bus Stop,2025/06/25 04:00:00+00,15556281,{49AED48C-47A7-047B-E063-782F520AA561}
ATE 0317,2024/06/01 04:00:00+00,Live,3021,Speed,2026/01/16 05:00:00+00,15556282,{49AED48C-47A8-047B-E063-782F520AA561}
ATE 0513,2023/06/01 04:00:00+00,Live,1470,Speed,2026/01/16 05:00:00+00,15556283,{49AED48C-47A9-047B-E063-782F520AA561}
1000664,2025/04/01 04:00:00+00,Live,2,Bus Stop,2025/06/24 04:00:00+00,15556284,{49AED48C-47AA-047B-E063-782F520AA561}
ATE 0801,2024/10/01 04:00:00+00,Live,1151,Stop Sign,2026/01/20 05:00:00+00,15556285,{49AED48C-47AB-047B-E063-782F520AA561}
ATE 0702,2023/02/01 05:00:00+00,Live,110,Red Light,2026/01/20 05:00:00+00,15556286,{49AED48C-47AC-047B-E063-782F520AA561}
ATE 0309,2024/08/01 04:00:00+00,Live,1060,Speed,2026/01/16 05:00:00+00,15556287,{49AED48C-47AD-047B-E063-782F520AA561}
1000640,2023/09/01 04:00:00+00,Warning,39,Bus Stop,2023/11/13 05:00:00+00,15556288,{49AED48C-47AE-047B-E063-782F520AA561}
1000511,2023/11/01 04:00:00+00,Warning,2,Bus Stop,2023/11/01 04:00:00+00,15556289,{49AED48C-47AF-047B-E063-782F520AA561}
ATE 0416,2024/12/01 05:00:00+00,Live,1325,Speed,2026/01/16 05:00:00+00,15556290,{49AED48C-47B0-047B-E063-782F520AA561}
ATE 0020,2023/04/01 04:00:00+00,Live,274,Speed,2024/08/25 04:00:00+00,15561187,{49AED48C-47B1-047B-E063-782F520AA561}
ATE 0054,2023/11/01 04:00:00+00,Live,833,Speed,2026/01/16 05:00:00+00,15561188,{49AED48C-47B2-047B-E063-782F520AA561}
ATE 0413,2024/07/01 04:00:00+00,Live,3200,Speed,2026/01/16 05:00:00+00,15561189,{49AED48C-47B3-047B-E063-782F520AA561}
LANE 0056,2025/03/01 05:00:00+00,Live,40,Bus Lane,2026/01/20 05:00:00+00,15561190,{49AED48C-47B4-047B-E063-782F520AA561}
ATE 0596,2022/12/01 05:00:00+00,Live,178,Red Light,2026/01/20 05:00:00+00,15561191,{49AED48C-47B5-047B-E063-782F520AA561}
1002221,2024/04/01 04:00:00+00,Live,82,Bus Stop,2025/06/25 04:00:00+00,15561192,{49AED48C-47B6-047B-E063-782F520AA561}
1001178,2025/02/01 05:00:00+00,Live,22,Bus Stop,2026/01/19 05:00:00+00,15561193,{49AED48C-47B7-047B-E063-782F520AA561}
ATE 0113,2025/07/01 04:00:00+00,Live,1403,Speed,2026/01/16 05:00:00+00,15561194,{49AED48C-47B8-047B-E063-782F520AA561}
1002478,2024/04/01 04:00:00+00,Live,15,Bus Stop,2025/06/20 04:00:00+00,15561195,{49AED48C-47B9-047B-E063-782F520AA561}
1002401,2025/04/01 04:00:00+00,Live,5,Bus Stop,2025/06/20 04:00:00+00,15561196,{49AED48C-47BA-047B-E063-782F520AA561}
1002965,2024/04/01 04:00:00+00,Live,183,Bus Stop,2025/06/23 04:00:00+00,15561197,{49AED48C-47BB-047B-E063-782F520AA561}
1001294,2024/06/01 04:00:00+00,Live,11,Bus Stop,2025/06/12 04:00:00+00,15561198,{49AED48C-47BC-047B-E063-782F520AA561}
ATE 0065,2024/11/01 04:00:00+00,Live,200,Speed,2026/01/16 05:00:00+00,15561199,{49AED48C-47BD-047B-E063-782F520AA561}
1003064,2024/12/01 05:00:00+00,Live,1,Bus Stop,2025/06/23 04:00:00+00,15561200,{49AED48C-47BE-047B-E063-782F520AA561}
1000648,2024/09/01 04:00:00+00,Live,16,Bus Stop,2025/06/25 04:00:00+00,15561201,{49AED48C-47BF-047B-E063-782F520AA561}
1001691,2024/11/01 04:00:00+00,Live,15,Bus Stop,2025/06/22 04:00:00+00,15561202,{49AED48C-47C0-047B-E063-782F520AA561}
ATE 0554,2024/08/01 04:00:00+00,Live,3706,Speed,2026/01/16 05:00:00+00,15561203,{49AED48C-47C1-047B-E063-782F520AA561}
ATE 0142,2024/05/01 04:00:00+00,Live,5631,Speed,2026/01/16 05:00:00+00,15561204,{49AED48C-47C2-047B-E063-782F520AA561}
LANE 0099,2023/11/01 04:00:00+00,Warning,1,Bus Lane,2024/01/05 05:00:00+00,15561205,{49AED48C-47C3-047B-E063-782F520AA561}
1001473,2025/03/01 05:00:00+00,Live,6,Bus Stop,2025/06/22 04:00:00+00,15561206,{49AED48C-47C4-047B-E063-782F520AA561}
