X,Y,ENFORCEMENT_SPACE_CODE,SITE_CODE,ENFORCEMENT_TYPE,LOCATION_DESCRIPTION,SPEED_LIMIT,DEVICE_MOBILITY,CAMERA_STATUS,ACTIVE_STATUS,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,WARD,ANC,SMD,OBJECTID,GLOBALID
-8572621.60620497,4711027.16372238,ATE 0183,1513,Speed,2800 BLK N CAPITOL ST NW S/B,25,,Live,Active,38.92565,-77.00917,399205.03105061,139751.84009004,5.0,5E,5E05,127227,{39A63775-CF2E-6356-E063-782F520A029D}
-8582697.68995699,4711702.86265079,ATE 0186,1302,Speed,2900 BLK ARIZONA AVE NW S/B,25,,Live,Active,38.930372,-77.099685,391356.80909253,140280.70194898,3.0,3D,3D02,127228,{39A63775-CF2F-6356-E063-782F520A029D}
-8578272.18356334,4716086.69781263,ATE 0187,1403,Speed,2900 BLK MILITARY RD NW E/B,25,,Live,Active,38.961,-77.05993,394806.07325158,143677.66938804,3.0,3/,3/4G03,127229,{39A63775-CF30-6356-E063-782F520A029D}
-8568030.79049592,4711351.98588137,ATE 0188,1516,Speed,2900 BLK S DAKOTA AVE NE NW/B,25,,Live,Active,38.92792,-76.96793,402780.97241676,140004.27790601,5.0,5C,5C02,127230,{39A63775-CF31-6356-E063-782F520A029D}
-8569469.03825174,4705246.49502887,ATE 0191,1704,Speed,300 BLK 17TH ST SE S/B,25,,Live,Active,38.88524,-76.98085,401661.67437805,135266.13687301,7.0,7D,7D10,127231,{39A63775-CF32-6356-E063-782F520A029D}
-8573315.12668092,4708124.25876595,ATE 0193,1207,Speed,300 BLK NEW YORK AVE NW W/B,25,Fixed,Live,Active,38.90536,-77.0154,398664.43119401,137499.55430102,2.0,2G,2G06,127232,{39A63775-CF33-6356-E063-782F520A029D}
-8572486.90973065,4711625.30243529,ATE 0199,1606,Speed,3000 BLK N CAPITOL ST NW S/B,40,,Live,Active,38.92983,-77.00796,399309.99383476,140215.84601348,5.0,5E,5E06,127553,{39A63775-CF34-6356-E063-782F520A029D}
-8567540.762066,4703162.6275767,ATE 0200,1714,Speed,3000 BLK PENNSYLVANIA AVE SE NW/B,25,,Live,Active,38.870667,-76.963528,403165.20840619,133648.88160116,7.0,7B,7B04,127554,{39A63775-CF35-6356-E063-782F520A029D}
-8567516.49439157,4701809.12196689,ATE 0204,1702,Speed,3100 BLK ALABAMA AVE SE NE/B,25,,Live,Active,38.8612,-76.96331,403184.54868871,132597.98281934,7.0,7B,7B05,127555,{39A63775-CF36-6356-E063-782F520A029D}
-8568310.20244467,4711671.09447194,ATE 0206,1537,Speed,3100 BLK S DAKOTA AVE NE SE/B,25,,Live,Active,38.93015,-76.97044,402563.25043739,140251.75357555,5.0,5C,5C07,127556,{39A63775-CF37-6356-E063-782F520A029D}
